Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;-0,3053;13,4069;0,0956;10,104;10,811;11,254;11,498;11,888;12,16;12,578;13,407;14,309;14,826;15,19;15,751;16,13;16,879;18,272;9,235;10,184;11,133;12,201;13,407;14,773;16,326;18,1;19,874
1;-0,1867;13,3976;0,09597;10,038;10,765;11,218;11,467;11,864;12,14;12,563;13,398;14,299;14,813;15,173;15,726;16,098;16,829;18,177;9,147;10,121;11,095;12,182;13,398;14,76;16,29;18,012;19,733
2;-0,0681;13,3883;0,09634;9,971;10,718;11,182;11,436;11,839;12,12;12,548;13,388;14,289;14,799;15,156;15,701;16,066;16,781;18,086;9,056;10,056;11,056;12,162;13,388;14,747;16,254;17,927;19,599
3;0,0505;13,3791;0,09672;9,9;10,67;11,144;11,404;11,815;12,1;12,533;13,379;14,279;14,786;15,139;15,676;16,035;16,734;18;8,961;9,988;11,015;12,143;13,379;14,734;16,219;17,845;19,472
4;0,169;13,3698;0,09709;9,827;10,62;11,106;11,371;11,79;12,079;12,518;13,37;14,27;14,773;15,122;15,652;16,004;16,687;17,916;8,861;9,918;10,974;12,123;13,37;14,721;16,185;17,767;19,349
5;0,2876;13,3606;0,09746;9,75;10,568;11,067;11,338;11,765;12,059;12,503;13,361;14,26;14,759;15,105;15,627;15,974;16,642;17,835;8,757;9,844;10,932;12,103;13,361;14,709;16,151;17,691;19,231
6;0,4062;13,3513;0,09784;9,67;10,515;11,027;11,304;11,739;12,038;12,487;13,351;14,25;14,746;15,088;15,604;15,944;16,598;17,757;8,647;9,768;10,889;12,083;13,351;14,696;16,118;17,618;19,118
7;0,5247;13,3421;0,09821;9,586;10,46;10,986;11,27;11,713;12,017;12,472;13,342;14,24;14,733;15,071;15,58;15,914;16,555;17,682;8,531;9,688;10,844;12,062;13,342;14,683;16,085;17,547;19,009
8;0,5094;13,3843;0,09769;9,644;10,512;11,036;11,318;11,76;12,063;12,517;13,384;14,28;14,773;15,111;15,62;15,954;16,595;17,723;8,594;9,744;10,895;12,108;13,384;14,723;16,125;17,588;19,052
9;0,4941;13,4265;0,09716;9,701;10,565;11,086;11,367;11,807;12,109;12,561;13,427;14,321;14,813;15,151;15,659;15,994;16,635;17,764;8,657;9,801;10,946;12,154;13,426;14,763;16,164;17,629;19,094
10;0,4789;13,4687;0,09664;9,758;10,617;11,136;11,416;11,854;12,155;12,606;13,469;14,362;14,853;15,191;15,699;16,033;16,675;17,805;8,719;9,858;10,996;12,2;13,469;14,803;16,203;17,67;19,136
11;0,4636;13,511;0,09611;9,815;10,67;11,187;11,465;11,902;12,201;12,65;13,511;14,402;14,893;15,23;15,738;16,072;16,714;17,846;8,782;9,914;11,047;12,246;13,511;14,843;16,243;17,71;19,177
12;0,4483;13,5532;0,09559;9,872;10,723;11,237;11,514;11,949;12,247;12,695;13,553;14,443;14,933;15,27;15,777;16,111;16,753;17,886;8,844;9,971;11,098;12,292;13,553;14,883;16,282;17,75;19,219
13;0,433;13,5954;0,09507;9,929;10,775;11,287;11,563;11,996;12,293;12,739;13,595;14,483;14,973;15,309;15,816;16,151;16,793;17,927;8,906;10,027;11,149;12,338;13,595;14,923;16,321;17,79;19,26
14;0,4177;13,6377;0,09454;9,987;10,828;11,337;11,612;12,043;12,339;12,784;13,638;14,524;15,012;15,349;15,855;16,189;16,831;17,966;8,969;10,084;11,2;12,384;13,638;14,963;16,36;17,83;19,3
15;0,4059;13,7174;0,09416;10,065;10,905;11,414;11,69;12,121;12,417;12,863;13,717;14,605;15,095;15,432;15,941;16,276;16,92;18,06;9,047;10,162;11,277;12,462;13,717;15,045;16,447;17,923;19,399
16;0,3946;13,8006;0,0938;10,144;10,985;11,494;11,77;12,201;12,498;12,944;13,801;14,691;15,182;15,52;16,03;16,367;17,014;18,159;9,126;10,241;11,357;12,543;13,801;15,132;16,539;18,021;19,504
17;0,3839;13,8854;0,09347;10,223;11,065;11,575;11,85;12,283;12,58;13,027;13,885;14,778;15,271;15,611;16,123;16,46;17,11;18,261;9,205;10,321;11,437;12,625;13,885;15,221;16,633;18,123;19,612
18;0,3735;13,9707;0,09315;10,303;11,145;11,655;11,932;12,365;12,662;13,11;13,971;14,866;15,361;15,701;16,215;16,555;17,207;18,364;9,283;10,4;11,517;12,707;13,971;15,31;16,728;18,225;19,721
19;0,3636;14,0558;0,09285;10,381;11,224;11,735;12,012;12,446;12,744;13,193;14,056;14,954;15,45;15,792;16,308;16,649;17,305;18,467;9,36;10,479;11,597;12,789;14,056;15,4;16,823;18,327;19,831
20;0,3541;14,1404;0,09257;10,459;11,303;11,815;12,092;12,526;12,825;13,275;14,14;15,041;15,539;15,883;16,401;16,743;17,402;18,569;9,436;10,556;11,676;12,87;14,14;15,489;16,918;18,429;19,94
21;0,3449;14,2241;0,0923;10,535;11,38;11,893;12,17;12,606;12,906;13,357;14,224;15,128;15,628;15,973;16,493;16,836;17,498;18,671;9,511;10,632;11,754;12,951;14,224;15,577;17,012;18,53;20,049
22;0,336;14,3065;0,09204;10,61;11,456;11,97;12,248;12,684;12,985;13,437;14,307;15,213;15,715;16,061;16,583;16,928;17,593;18,772;9,584;10,707;11,831;13,03;14,306;15,664;17,104;18,63;20,156
23;0,3274;14,3877;0,0918;10,683;11,53;12,045;12,324;12,761;13,062;13,515;14,388;15,297;15,801;16,148;16,672;17,019;17,686;18,871;9,656;10,781;11,906;13,107;14,388;15,75;17,196;18,729;20,262
24;0,3191;14,4675;0,09156;10,755;11,604;12,119;12,398;12,837;13,138;13,593;14,468;15,38;15,885;16,234;16,76;17,108;17,778;18,969;9,726;10,853;11,98;13,184;14,468;15,834;17,286;18,825;20,365
25;0,311;14,5457;0,09134;10,825;11,675;12,192;12,471;12,911;13,213;13,668;14,546;15,461;15,968;16,318;16,846;17,196;17,869;19,065;9,795;10,923;12,052;13,258;14,546;15,917;17,374;18,921;20,468
26;0,3032;14,6225;0,09112;10,894;11,745;12,263;12,543;12,983;13,286;13,743;14,623;15,541;16,049;16,401;16,931;17,281;17,957;19,159;9,862;10,992;12,123;13,332;14,622;15,998;17,461;19,014;20,568
27;0,2955;14,6977;0,09092;10,961;11,814;12,332;12,613;13,054;13,358;13,816;14,698;15,619;16,129;16,482;17,014;17,366;18,045;19,252;9,927;11,06;12,192;13,404;14,698;16,077;17,546;19,106;20,667
28;0,2881;14,7714;0,09072;11,027;11,881;12,4;12,682;13,124;13,428;13,887;14,771;15,695;16,207;16,561;17,095;17,449;18,13;19,342;9,992;11,126;12,26;13,474;14,771;16,155;17,629;19,196;20,763
29;0,2809;14,8436;0,09053;11,092;11,947;12,467;12,749;13,192;13,497;13,957;14,844;15,77;16,284;16,639;17,175;17,53;18,214;19,431;10,054;11,19;12,326;13,543;14,844;16,232;17,711;19,284;20,858
30;0,2738;14,914;0,09035;11,155;12,011;12,532;12,815;13,258;13,564;14,025;14,914;15,843;16,359;16,715;17,253;17,609;18,296;19,518;10,116;11,253;12,391;13,61;14,914;16,306;17,791;19,371;20,951
31;0,2669;14,9822;0,09017;11,216;12,073;12,595;12,878;13,323;13,629;14,091;14,982;15,914;16,431;16,788;17,328;17,685;18,375;19,602;10,175;11,315;12,454;13,675;14,982;16,378;17,868;19,454;21,04
32;0,2602;15,0485;0,09;11,275;12,134;12,656;12,94;13,386;13,693;14,155;15,049;15,983;16,501;16,86;17,401;17,76;18,451;19,684;10,233;11,374;12,515;13,739;15,048;16,449;17,943;19,535;21,128
33;0,2536;15,1127;0,08984;11,332;12,192;12,716;13;13,446;13,754;14,217;15,113;16,049;16,57;16,929;17,472;17,832;18,526;19,763;10,289;11,431;12,574;13,8;15,113;16,517;18,016;19,614;21,212
34;0,2472;15,175;0,08968;11,388;12,249;12,773;13,058;13,505;13,813;14,278;15,175;16,114;16,636;16,996;17,541;17,902;18,598;19,84;10,343;11,487;12,631;13,859;15,175;16,583;18,086;19,69;21,294
35;0,2409;15,2355;0,08953;11,442;12,304;12,829;13,114;13,562;13,871;14,336;15,236;16,177;16,7;17,061;17,608;17,97;18,669;19,915;10,396;11,542;12,687;13,917;15,236;16,647;18,155;19,764;21,374
36;0,2348;15,2942;0,08938;11,495;12,358;12,884;13,169;13,618;13,927;14,393;15,294;16,238;16,762;17,124;17,673;18,036;18,737;19,987;10,447;11,594;12,741;13,973;15,294;16,709;18,221;19,836;21,451
37;0,2287;15,3511;0,08924;11,546;12,41;12,936;13,222;13,671;13,981;14,448;15,351;16,297;16,822;17,186;17,735;18,1;18,803;20,058;10,497;11,646;12,794;14,028;15,351;16,769;18,286;19,906;21,527
38;0,2228;15,4062;0,0891;11,596;12,46;12,987;13,273;13,723;14,034;14,502;15,406;16,354;16,881;17,245;17,796;18,161;18,867;20,126;10,546;11,695;12,845;14,08;15,406;16,827;18,348;19,974;21,599
39;0,217;15,4597;0,08897;11,644;12,509;13,037;13,323;13,774;14,085;14,554;15,46;16,409;16,938;17,303;17,855;18,222;18,929;20,192;10,593;11,743;12,894;14,131;15,46;16,884;18,409;20,039;21,67
40;0,2113;15,5115;0,08884;11,69;12,557;13,085;13,372;13,823;14,134;14,604;15,512;16,463;16,993;17,359;17,913;18,28;18,989;20,256;10,638;11,79;12,942;14,181;15,512;16,939;18,467;20,103;21,739
41;0,2058;15,5618;0,08871;11,736;12,603;13,132;13,419;13,871;14,182;14,653;15,562;16,515;17,046;17,413;17,968;18,336;19,047;20,318;10,683;11,836;12,989;14,229;15,562;16,992;18,524;20,164;21,805
42;0,2003;15,6107;0,08859;11,78;12,648;13,177;13,465;13,917;14,229;14,7;15,611;16,566;17,098;17,465;18,022;18,391;19,104;20,378;10,726;11,88;13,034;14,276;15,611;17,044;18,58;20,224;21,869
43;0,1949;15,6582;0,08847;11,823;12,692;13,221;13,509;13,962;14,274;14,746;15,658;16,615;17,148;17,516;18,074;18,444;19,159;20,437;10,768;11,923;13,078;14,321;15,658;17,094;18,633;20,283;21,932
44;0,1896;15,7043;0,08835;11,865;12,734;13,265;13,553;14,006;14,319;14,791;15,704;16,663;17,197;17,566;18,125;18,496;19,213;20,494;10,809;11,965;13,121;14,366;15,704;17,142;18,685;20,339;21,993
45;0,1844;15,7492;0,08824;11,906;12,775;13,306;13,595;14,048;14,362;14,834;15,749;16,71;17,244;17,614;18,175;18,546;19,265;20,55;10,849;12,006;13,163;14,409;15,749;17,19;18,736;20,394;22,052
46;0,1793;15,7929;0,08813;11,945;12,816;13,347;13,636;14,09;14,403;14,877;15,793;16,755;17,291;17,661;18,223;18,595;19,315;20,604;10,888;12,046;13,203;14,45;15,793;17,236;18,786;20,448;22,11
47;0,1743;15,8353;0,08802;11,984;12,855;13,387;13,675;14,13;14,444;14,918;15,835;16,799;17,335;17,707;18,269;18,643;19,364;20,656;10,926;12,084;13,243;14,491;15,835;17,281;18,833;20,5;22,166
48;0,1693;15,8767;0,08792;12,022;12,893;13,425;13,714;14,169;14,484;14,958;15,877;16,842;17,379;17,751;18,315;18,689;19,413;20,707;10,963;12,122;13,281;14,531;15,877;17,325;18,88;20,551;22,221
49;0,1645;15,9169;0,08782;12,058;12,93;13,463;13,752;14,208;14,522;14,997;15,917;16,883;17,422;17,795;18,359;18,734;19,459;20,757;10,999;12,159;13,319;14,569;15,917;17,367;18,926;20,6;22,274
50;0,1597;15,956;0,08772;12,094;12,966;13,499;13,789;14,245;14,56;15,035;15,956;16,924;17,463;17,837;18,402;18,778;19,505;20,805;11,034;12,195;13,355;14,607;15,956;17,408;18,97;20,648;22,326
51;0,155;15,9941;0,08762;12,129;13,002;13,535;13,825;14,281;14,596;15,072;15,994;16,963;17,503;17,878;18,444;18,82;19,549;20,852;11,068;12,23;13,391;14,644;15,994;17,448;19,013;20,694;22,376
52;0,1503;16,0311;0,08753;12,163;13,036;13,57;13,86;14,316;14,632;15,108;16,031;17,002;17,543;17,917;18,485;18,862;19,592;20,898;11,102;12,263;13,425;14,679;16,031;17,488;19,055;20,74;22,425
53;0,1457;16,0672;0,08743;12,196;13,07;13,604;13,894;14,351;14,666;15,143;16,067;17,039;17,581;17,956;18,525;18,902;19,633;20,942;11,135;12,297;13,459;14,714;16,067;17,526;19,095;20,784;22,473
54;0,1412;16,1023;0,08734;12,229;13,103;13,637;13,927;14,384;14,7;15,177;16,102;17,075;17,618;17,994;18,563;18,941;19,674;20,986;11,167;12,329;13,492;14,748;16,102;17,563;19,135;20,827;22,519
55;0,1368;16,1365;0,08725;12,26;13,134;13,669;13,959;14,417;14,733;15,211;16,137;17,111;17,654;18,03;18,601;18,98;19,713;21,028;11,198;12,361;13,524;14,781;16,137;17,599;19,174;20,869;22,564
56;0,1324;16,1698;0,08717;12,291;13,165;13,7;13,991;14,449;14,765;15,243;16,17;17,145;17,689;18,066;18,638;19,017;19,752;21,07;11,228;12,391;13,555;14,812;16,17;17,634;19,211;20,91;22,609
57;0,128;16,2021;0,08708;12,321;13,196;13,731;14,021;14,48;14,796;15,274;16,202;17,178;17,723;18,101;18,673;19,053;19,789;21,109;11,258;12,422;13,586;14,844;16,202;17,668;19,248;20,949;22,651
58;0,1238;16,2336;0,087;12,35;13,225;13,76;14,051;14,51;14,826;15,305;16,234;17,211;17,757;18,134;18,708;19,088;19,826;21,148;11,286;12,451;13,615;14,874;16,234;17,701;19,283;20,988;22,693
59;0,1196;16,2642;0,08692;12,378;13,254;13,789;14,08;14,539;14,856;15,335;16,264;17,243;17,789;18,167;18,741;19,123;19,861;21,186;11,314;12,479;13,644;14,903;16,264;17,733;19,318;21,026;22,734
60;0,1154;16,2941;0,08684;12,406;13,282;13,817;14,108;14,567;14,885;15,364;16,294;17,274;17,82;18,199;18,774;19,156;19,896;21,223;11,342;12,507;13,672;14,932;16,294;17,765;19,351;21,062;22,773
61;0,1113;16,3231;0,08676;12,433;13,309;13,845;14,136;14,595;14,913;15,392;16,323;17,304;17,851;18,23;18,806;19,188;19,929;21,259;11,369;12,534;13,7;14,96;16,323;17,795;19,384;21,098;22,811
62;0,1072;16,3513;0,08669;12,46;13,335;13,871;14,163;14,622;14,94;15,42;16,351;17,333;17,881;18,261;18,837;19,22;19,962;21,294;11,395;12,56;13,726;14,987;16,351;17,825;19,416;21,133;22,849
63;0,1032;16,3787;0,08661;12,486;13,361;13,897;14,189;14,649;14,966;15,447;16,379;17,361;17,91;18,29;18,867;19,25;19,993;21,327;11,42;12,586;13,752;15,014;16,379;17,854;19,447;21,166;22,885
64;0,0993;16,4053;0,08654;12,51;13,386;13,923;14,214;14,674;14,992;15,473;16,405;17,388;17,938;18,318;18,896;19,28;20,024;21,361;11,445;12,611;13,777;15,04;16,405;17,882;19,477;21,199;22,921
65;0,0954;16,4312;0,08646;12,535;13,411;13,947;14,239;14,699;15,017;15,498;16,431;17,415;17,965;18,346;18,924;19,309;20,054;21,392;11,47;12,636;13,802;15,065;16,431;17,909;19,505;21,23;22,954
66;0,0915;16,4562;0,08639;12,559;13,435;13,971;14,263;14,723;15,041;15,522;16,456;17,441;17,991;18,373;18,952;19,336;20,083;21,423;11,493;12,66;13,826;15,089;16,456;17,935;19,533;21,26;22,987
67;0,0877;16,4806;0,08632;12,582;13,458;13,995;14,286;14,747;15,065;15,546;16,481;17,466;18,017;18,399;18,978;19,363;20,111;21,453;11,516;12,683;13,849;15,113;16,481;17,961;19,561;21,29;23,02
68;0,084;16,5042;0,08626;12,604;13,48;14,017;14,309;14,769;15,088;15,569;16,504;17,49;18,042;18,424;19,004;19,39;20,138;21,482;11,538;12,705;13,871;15,135;16,504;17,985;19,588;21,32;23,051
69;0,0803;16,5271;0,08619;12,626;13,502;14,039;14,331;14,791;15,11;15,592;16,527;17,514;18,066;18,448;19,029;19,415;20,164;21,51;11,56;12,727;13,893;15,158;16,527;18,009;19,613;21,347;23,081
70;0,0766;16,5494;0,08612;12,648;13,524;14,06;14,352;14,813;15,132;15,613;16,549;17,537;18,089;18,472;19,053;19,44;20,19;21,538;11,582;12,748;13,915;15,179;16,549;18,033;19,638;21,374;23,111
71;0,0729;16,571;0,08606;12,668;13,544;14,081;14,373;14,834;15,153;15,635;16,571;17,559;18,112;18,495;19,077;19,464;20,215;21,565;11,602;12,769;13,936;15,2;16,571;18,055;19,662;21,401;23,14
72;0,0693;16,592;0,08599;12,689;13,565;14,101;14,394;14,854;15,173;15,655;16,592;17,581;18,134;18,517;19,1;19,487;20,239;21,59;11,623;12,789;13,956;15,221;16,592;18,077;19,686;21,426;23,167
73;0,0658;16,6124;0,08593;12,708;13,584;14,121;14,413;14,874;15,193;15,675;16,612;17,602;18,155;18,539;19,122;19,51;20,262;21,615;11,642;12,809;13,976;15,241;16,612;18,099;19,708;21,451;23,194
74;0,0623;16,6321;0,08587;12,727;13,603;14,14;14,432;14,893;15,212;15,695;16,632;17,622;18,176;18,56;19,143;19,532;20,285;21,64;11,662;12,828;13,995;15,26;16,632;18,119;19,73;21,475;23,22
75;0,0588;16,6514;0,08581;12,746;13,622;14,159;14,451;14,912;15,231;15,713;16,651;17,642;18,196;18,58;19,164;19,553;20,307;21,663;11,68;12,847;14,013;15,279;16,651;18,139;19,752;21,499;23,246
76;0,0554;16,67;0,08575;12,764;13,64;14,177;14,469;14,93;15,249;15,732;16,67;17,661;18,215;18,6;19,185;19,573;20,328;21,686;11,699;12,865;14,031;15,297;16,67;18,159;19,773;21,521;23,27
77;0,052;16,6882;0,08569;12,782;13,658;14,195;14,487;14,948;15,267;15,75;16,688;17,68;18,234;18,619;19,204;19,593;20,349;21,708;11,717;12,883;14,049;15,315;16,688;18,178;19,793;21,543;23,294
78;0,0486;16,7058;0,08564;12,799;13,675;14,211;14,504;14,965;15,284;15,767;16,706;17,698;18,253;18,638;19,224;19,613;20,369;21,73;11,734;12,9;14,066;15,332;16,706;18,196;19,813;21,565;23,318
79;0,0452;16,7229;0,08558;12,816;13,692;14,228;14,521;14,982;15,301;15,784;16,723;17,715;18,271;18,656;19,242;19,632;20,389;21,751;11,751;12,917;14,083;15,349;16,723;18,214;19,832;21,586;23,34
80;0,0419;16,7396;0,08552;12,833;13,708;14,245;14,537;14,998;15,317;15,8;16,74;17,732;18,288;18,674;19,26;19,65;20,407;21,771;11,768;12,934;14,099;15,365;16,74;18,231;19,85;21,606;23,362
81;0,0387;16,7557;0,08547;12,849;13,724;14,26;14,553;15,014;15,333;15,816;16,756;17,749;18,305;18,691;19,278;19,668;20,426;21,791;11,784;12,949;14,115;15,381;16,756;18,248;19,868;21,626;23,383
82;0,0354;16,7715;0,08541;12,865;13,74;14,276;14,568;15,029;15,349;15,832;16,772;17,765;18,321;18,708;19,294;19,685;20,444;21,811;11,8;12,965;14,131;15,397;16,772;18,265;19,885;21,645;23,404
83;0,0322;16,7867;0,08536;12,88;13,755;14,291;14,583;15,044;15,363;15,847;16,787;17,781;18,337;18,724;19,311;19,702;20,461;21,829;11,815;12,98;14,145;15,411;16,787;18,28;19,902;21,663;23,424
84;0,0291;16,8016;0,08531;12,895;13,769;14,306;14,598;15,059;15,378;15,861;16,802;17,796;18,353;18,739;19,327;19,718;20,478;21,848;11,83;12,995;14,16;15,426;16,802;18,296;19,919;21,681;23,444
85;0,0259;16,8161;0,08526;12,909;13,784;14,32;14,612;15,073;15,392;15,876;16,816;17,811;18,368;18,755;19,343;19,734;20,495;21,866;11,845;13,01;14,174;15,44;16,816;18,311;19,935;21,699;23,463
86;0,0228;16,8301;0,08521;12,924;13,798;14,334;14,626;15,087;15,406;15,889;16,83;17,825;18,382;18,77;19,358;19,75;20,511;21,883;11,86;13,024;14,188;15,454;16,83;18,326;19,951;21,716;23,482
87;0,0197;16,8438;0,08516;12,938;13,811;14,347;14,639;15,101;15,42;15,903;16,844;17,839;18,397;18,784;19,373;19,765;20,526;21,9;11,874;13,038;14,202;15,468;16,844;18,34;19,966;21,733;23,5
88;0,0167;16,8571;0,08511;12,951;13,825;14,361;14,653;15,114;15,433;15,916;16,857;17,853;18,41;18,798;19,387;19,779;20,541;21,916;11,888;13,051;14,215;15,481;16,857;18,354;19,98;21,749;23,517
89;0,0137;16,8701;0,08506;12,964;13,838;14,374;14,665;15,127;15,446;15,929;16,87;17,866;18,424;18,812;19,401;19,793;20,556;21,932;11,901;13,065;14,228;15,494;16,87;18,367;19,995;21,764;23,534
90;0,0107;16,8827;0,08501;12,978;13,85;14,386;14,678;15,139;15,458;15,942;16,883;17,879;18,437;18,825;19,414;19,807;20,57;21,947;11,915;13,078;14,241;15,506;16,883;18,38;20,008;21,78;23,551
91;0,0077;16,895;0,08496;12,99;13,863;14,399;14,69;15,151;15,47;15,954;16,895;17,891;18,45;18,838;19,427;19,82;20,584;21,962;11,928;13,091;14,253;15,518;16,895;18,393;20,022;21,794;23,567
92;0,0048;16,9069;0,08492;13,002;13,875;14,41;14,702;15,163;15,482;15,966;16,907;17,903;18,462;18,85;19,44;19,834;20,598;21,977;11,94;13,103;14,265;15,53;16,907;18,405;20,035;21,809;23,583
93;0,0018;16,9186;0,08487;13,015;13,887;14,422;14,714;15,175;15,494;15,977;16,919;17,915;18,474;18,862;19,453;19,846;20,611;21,991;11,953;13,115;14,277;15,542;16,919;18,417;20,048;21,823;23,598
94;-0,0011;16,9299;0,08483;13,026;13,898;14,433;14,725;15,186;15,505;15,988;16,93;17,927;18,486;18,874;19,465;19,859;20,624;22,005;11,965;13,126;14,288;15,553;16,93;18,429;20,061;21,837;23,613
95;-0,0039;16,941;0,08478;13,038;13,91;14,445;14,736;15,197;15,516;16;16,941;17,938;18,497;18,886;19,477;19,871;20,636;22,018;11,977;13,138;14,3;15,564;16,941;18,44;20,073;21,85;23,628
96;-0,0068;16,9518;0,08474;13,049;13,921;14,456;14,747;15,208;15,527;16,01;16,952;17,949;18,508;18,897;19,489;19,882;20,648;22,032;11,988;13,149;14,31;15,575;16,952;18,451;20,085;21,863;23,642
97;-0,0096;16,9623;0,0847;13,06;13,931;14,466;14,758;15,218;15,537;16,021;16,962;17,96;18,519;18,908;19,5;19,894;20,66;22,045;11,999;13,16;14,321;15,585;16,962;18,462;20,096;21,876;23,656
98;-0,0124;16,9725;0,08465;13,071;13,942;14,477;14,768;15,229;15,548;16,031;16,973;17,97;18,53;18,919;19,51;19,905;20,672;22,057;12,011;13,171;14,332;15,596;16,972;18,473;20,107;21,888;23,669
99;-0,0151;16,9825;0,08461;13,082;13,952;14,487;14,778;15,239;15,558;16,041;16,983;17,98;18,54;18,929;19,521;19,916;20,683;22,069;12,022;13,182;14,342;15,606;16,982;18,483;20,118;21,9;23,683
100;-0,0179;16,9923;0,08457;13,092;13,962;14,497;14,788;15,249;15,567;16,051;16,992;17,99;18,55;18,939;19,532;19,926;20,694;22,081;12,033;13,192;14,352;15,615;16,992;18,493;20,129;21,912;23,696
101;-0,0206;17,0018;0,08453;13,102;13,972;14,506;14,798;15,258;15,577;16,06;17,002;18;18,56;18,949;19,542;19,937;20,705;22,093;12,043;13,202;14,362;15,625;17,002;18,503;20,139;21,924;23,708
102;-0,0233;17,0111;0,08449;13,112;13,982;14,516;14,807;15,267;15,586;16,069;17,011;18,009;18,57;18,959;19,552;19,947;20,715;22,104;12,053;13,212;14,371;15,634;17,011;18,512;20,15;21,935;23,721
103;-0,026;17,0201;0,08445;13,122;13,991;14,525;14,816;15,277;15,595;16,078;17,02;18,018;18,579;18,968;19,561;19,957;20,725;22,115;12,063;13,222;14,38;15,643;17,02;18,522;20,159;21,946;23,733
104;-0,0287;17,029;0,08441;13,132;14,001;14,534;14,826;15,286;15,604;16,087;17,029;18,027;18,588;18,978;19,571;19,966;20,735;22,126;12,073;13,232;14,39;15,652;17,029;18,531;20,169;21,957;23,744
105;-0,0313;17,0376;0,08437;13,141;14,01;14,543;14,834;15,294;15,613;16,096;17,038;18,036;18,597;18,987;19,58;19,975;20,745;22,136;12,083;13,241;14,399;15,661;17,038;18,54;20,178;21,967;23,756
106;-0,0339;17,0461;0,08433;13,151;14,019;14,552;14,843;15,303;15,622;16,104;17,046;18,045;18,605;18,995;19,589;19,984;20,754;22,146;12,093;13,25;14,407;15,669;17,046;18,548;20,188;21,977;23,767
107;-0,0365;17,0544;0,08429;13,16;14,027;14,561;14,852;15,311;15,63;16,113;17,054;18,053;18,614;19,004;19,598;19,993;20,764;22,156;12,102;13,259;14,416;15,678;17,054;18,557;20,196;21,987;23,778
108;-0,0391;17,0624;0,08426;13,168;14,036;14,569;14,86;15,319;15,638;16,121;17,062;18,061;18,622;19,012;19,606;20,002;20,773;22,167;12,111;13,268;14,424;15,686;17,062;18,565;20,206;21,997;23,789
109;-0,0416;17,0704;0,08422;13,177;14,044;14,577;14,868;15,328;15,646;16,129;17,07;18,069;18,63;19,021;19,615;20,011;20,782;22,176;12,121;13,277;14,433;15,694;17,07;18,573;20,214;22,007;23,799
110;-0,0442;17,0781;0,08418;13,186;14,053;14,585;14,876;15,336;15,654;16,137;17,078;18,077;18,638;19,028;19,623;20,019;20,79;22,186;12,13;13,285;14,441;15,702;17,078;18,581;20,222;22,016;23,809
111;-0,0467;17,0857;0,08415;13,194;14,06;14,593;14,884;15,343;15,661;16,144;17,086;18,085;18,646;19,036;19,631;20,027;20,799;22,195;12,138;13,293;14,449;15,709;17,086;18,589;20,231;22,025;23,82
112;-0,0492;17,0931;0,08411;13,202;14,069;14,601;14,892;15,351;15,669;16,152;17,093;18,092;18,654;19,044;19,639;20,035;20,807;22,204;12,147;13,302;14,457;15,717;17,093;18,596;20,239;22,034;23,829
113;-0,0517;17,1003;0,08408;13,21;14,076;14,608;14,899;15,358;15,676;16,159;17,1;18,1;18,661;19,052;19,646;20,043;20,815;22,213;12,155;13,31;14,464;15,724;17,1;18,604;20,247;22,043;23,839
114;-0,0541;17,1074;0,08404;13,218;14,084;14,616;14,906;15,365;15,684;16,166;17,107;18,107;18,668;19,059;19,654;20,05;20,823;22,221;12,164;13,318;14,472;15,731;17,107;18,611;20,254;22,051;23,848
115;-0,0566;17,1144;0,08401;13,226;14,091;14,623;14,914;15,373;15,691;16,173;17,114;18,114;18,675;19,066;19,661;20,058;20,831;22,23;12,172;13,325;14,479;15,738;17,114;18,618;20,262;22,06;23,858
116;-0,059;17,1212;0,08397;13,234;14,099;14,631;14,921;15,38;15,698;16,18;17,121;18,121;18,682;19,073;19,668;20,065;20,838;22,238;12,18;13,333;14,486;15,746;17,121;18,625;20,269;22,068;23,866
117;-0,0614;17,1279;0,08394;13,242;14,106;14,638;14,928;15,386;15,704;16,187;17,128;18,127;18,689;19,08;19,675;20,073;20,846;22,247;12,188;13,341;14,493;15,752;17,128;18,632;20,276;22,076;23,876
118;-0,0638;17,1344;0,08391;13,249;14,113;14,644;14,934;15,393;15,711;16,193;17,134;18,134;18,696;19,087;19,682;20,08;20,853;22,255;12,196;13,348;14,5;15,759;17,134;18,638;20,284;22,084;23,885
119;-0,0662;17,1409;0,08387;13,256;14,12;14,652;14,941;15,4;15,718;16,2;17,141;18,14;18,702;19,093;19,689;20,086;20,86;22,262;12,204;13,356;14,507;15,766;17,141;18,645;20,29;22,092;23,893
120;-0,0686;17,1472;0,08384;13,264;14,127;14,658;14,948;15,406;15,724;16,206;17,147;18,147;18,709;19,1;19,696;20,093;20,867;22,27;12,211;13,363;14,514;15,772;17,147;18,651;20,297;22,099;23,902
121;-0,0709;17,1533;0,08381;13,271;14,134;14,665;14,954;15,413;15,73;16,212;17,153;18,153;18,715;19,106;19,702;20,1;20,874;22,278;12,219;13,369;14,52;15,778;17,153;18,658;20,304;22,107;23,91
122;-0,0732;17,1594;0,08378;13,277;14,14;14,671;14,961;15,419;15,737;16,219;17,159;18,159;18,721;19,112;19,709;20,106;20,881;22,285;12,226;13,376;14,527;15,784;17,159;18,664;20,311;22,114;23,918
