Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1469;-0,367;15,3285;0,08247;12,014;12,734;13,182;13,428;13,819;14,091;14,507;15,329;16,215;16,719;17,073;17,617;17,983;18,702;20,031;11,132;12,096;13,06;14,132;15,328;16,667;18,172;19,868;21,563
1470;-0,3676;15,328;0,08248;12,014;12,734;13,182;13,427;13,818;14,091;14,507;15,328;16,214;16,719;17,073;17,617;17,983;18,703;20,032;11,132;12,096;13,06;14,132;15,328;16,667;18,172;19,868;21,564
1471;-0,3682;15,3275;0,08249;12,013;12,733;13,181;13,427;13,818;14,09;14,506;15,328;16,214;16,719;17,073;17,617;17,983;18,703;20,032;11,131;12,095;13,059;14,131;15,328;16,667;18,171;19,868;21,565
1472;-0,3688;15,327;0,0825;12,013;12,733;13,18;13,426;13,817;14,09;14,506;15,327;16,213;16,718;17,072;17,616;17,982;18,703;20,032;11,131;12,095;13,059;14,131;15,327;16,666;18,171;19,869;21,566
1473;-0,3694;15,3265;0,08251;12,012;12,732;13,18;13,426;13,816;14,089;14,505;15,327;16,213;16,718;17,072;17,616;17,982;18,703;20,033;11,13;12,094;13,058;14,13;15,326;16,666;18,171;19,869;21,567
1474;-0,37;15,326;0,08253;12,011;12,731;13,179;13,425;13,816;14,088;14,504;15,326;16,213;16,718;17,072;17,616;17,983;18,703;20,034;11,13;12,093;13,057;14,129;15,326;16,666;18,172;19,87;21,569
1475;-0,3706;15,3255;0,08254;12,011;12,731;13,178;13,424;13,815;14,088;14,504;15,326;16,212;16,717;17,072;17,616;17,983;18,703;20,035;11,129;12,093;13,057;14,129;15,326;16,666;18,172;19,871;21,57
1476;-0,3713;15,325;0,08255;12,01;12,73;13,178;13,424;13,814;14,087;14,503;15,325;16,212;16,717;17,072;17,616;17,983;18,704;20,035;11,129;12,092;13,056;14,128;15,325;16,665;18,172;19,871;21,571
1477;-0,3719;15,3245;0,08256;12,01;12,73;13,177;13,423;13,814;14,087;14,503;15,325;16,212;16,717;17,071;17,616;17,982;18,704;20,036;11,128;12,092;13,055;14,128;15,324;16,665;18,172;19,872;21,572
1478;-0,3725;15,324;0,08257;12,009;12,729;13,177;13,422;13,813;14,086;14,502;15,324;16,211;16,716;17,071;17,616;17,982;18,704;20,036;11,128;12,091;13,055;14,127;15,324;16,665;18,172;19,872;21,573
1479;-0,3731;15,3235;0,08258;12,009;12,729;13,176;13,422;13,813;14,085;14,502;15,324;16,211;16,716;17,071;17,616;17,982;18,704;20,037;11,127;12,091;13,054;14,127;15,324;16,664;18,172;19,872;21,573
1480;-0,3738;15,323;0,08259;12,008;12,728;13,176;13,421;13,812;14,085;14,501;15,323;16,21;16,716;17,07;17,615;17,982;18,704;20,037;11,127;12,09;13,054;14,126;15,323;16,664;18,172;19,873;21,574
1481;-0,3744;15,3225;0,0826;12,008;12,727;13,175;13,421;13,812;14,084;14,5;15,323;16,21;16,715;17,07;17,615;17,982;18,704;20,038;11,126;12,09;13,053;14,125;15,322;16,664;18,171;19,873;21,575
1482;-0,375;15,322;0,08262;12,007;12,727;13,174;13,42;13,811;14,084;14,5;15,322;16,21;16,715;17,07;17,615;17,982;18,705;20,039;11,125;12,089;13,052;14,125;15,322;16,663;18,172;19,874;21,577
1483;-0,3756;15,3215;0,08263;12,006;12,726;13,174;13,419;13,81;14,083;14,499;15,322;16,209;16,715;17,07;17,615;17,982;18,705;20,039;11,125;12,088;13,052;14,124;15,322;16,663;18,172;19,875;21,578
