Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;-0,0631;13,3363;0,09272;10,039;10,764;11,213;11,458;11,847;12,118;12,529;13,336;14,199;14,686;15,026;15,545;15,892;16,571;17,808;9,154;10,122;11,091;12,159;13,336;14,636;16,071;17,657;19,242
1;0,0362;13,3185;0,0936;9,958;10,703;11,162;11,413;11,81;12,085;12,503;13,319;14,185;14,673;15,012;15,529;15,873;16,544;17,759;9,049;10,043;11,038;12,127;13,318;14,623;16,05;17,611;19,172
2;0,1355;13,3006;0,09448;9,874;10,641;11,111;11,367;11,772;12,052;12,476;13,301;14,172;14,659;14,998;15,512;15,854;16,517;17,71;8,941;9,962;10,983;12,094;13,301;14,61;16,029;17,566;19,102
3;0,2347;13,2828;0,09535;9,788;10,577;11,059;11,321;11,734;12,019;12,449;13,283;14,158;14,646;14,983;15,495;15,834;16,489;17,661;8,829;9,879;10,928;12,062;13,283;14,596;16,007;17,52;19,032
4;0,334;13,2649;0,09623;9,698;10,511;11,006;11,274;11,695;11,985;12,422;13,265;14,145;14,632;14,969;15,477;15,813;16,461;17,613;8,712;9,792;10,872;12,029;13,265;14,583;15,985;17,474;18,964
5;0,4333;13,247;0,09711;9,605;10,444;10,952;11,226;11,656;11,952;12,395;13,247;14,131;14,618;14,954;15,459;15,793;16,433;17,565;8,59;9,702;10,815;11,996;13,247;14,569;15,963;17,429;18,895
6;0,5326;13,2292;0,09799;9,509;10,375;10,897;11,178;11,617;11,918;12,368;13,229;14,117;14,605;14,939;15,442;15,772;16,405;17,517;8,463;9,609;10,756;11,963;13,229;14,555;15,94;17,384;18,827
7;0,6319;13,2113;0,09887;9,408;10,304;10,84;11,128;11,577;11,883;12,341;13,211;14,103;14,59;14,924;15,423;15,751;16,376;17,469;8,33;9,513;10,696;11,929;13,211;14,541;15,917;17,339;18,76
8;0,6142;13,2455;0,09866;9,451;10,342;10,877;11,164;11,612;11,918;12,375;13,246;14,138;14,626;14,961;15,461;15,79;16,418;17,516;8,376;9,554;10,733;11,964;13,246;14,577;15,957;17,385;18,813
9;0,5965;13,2796;0,09845;9,493;10,381;10,914;11,2;11,647;11,953;12,41;13,28;14,173;14,662;14,997;15,5;15,829;16,46;17,563;8,422;9,596;10,77;11,998;13,28;14,613;15,997;17,431;18,866
10;0,5789;13,3137;0,09824;9,535;10,419;10,95;11,236;11,682;11,987;12,444;13,314;14,208;14,698;15,034;15,538;15,868;16,501;17,61;8,468;9,637;10,807;12,033;13,314;14,649;16,037;17,477;18,918
11;0,5612;13,3478;0,09804;9,576;10,457;10,987;11,272;11,717;12,022;12,478;13,348;14,243;14,734;15,071;15,576;15,908;16,543;17,657;8,513;9,678;10,844;12,067;13,348;14,684;16,077;17,524;18,971
12;0,5435;13,3819;0,09783;9,618;10,496;11,024;11,308;11,752;12,057;12,512;13,382;14,278;14,77;15,107;15,614;15,947;16,585;17,704;8,559;9,72;10,881;12,102;13,382;14,72;16,116;17,57;19,024
13;0,5258;13,416;0,09762;9,66;10,534;11,06;11,344;11,787;12,091;12,546;13,416;14,313;14,806;15,144;15,652;15,986;16,626;17,751;8,604;9,761;10,918;12,137;13,416;14,756;16,156;17,617;19,077
14;0,5082;13,4501;0,09741;9,702;10,572;11,097;11,38;11,823;12,126;12,581;13,45;14,348;14,842;15,181;15,69;16,025;16,668;17,798;8,65;9,802;10,955;12,171;13,45;14,792;16,196;17,663;19,129
15;0,4947;13,5169;0,09726;9,762;10,633;11,159;11,442;11,885;12,189;12,645;13,517;14,418;14,914;15,255;15,767;16,104;16,75;17,888;8,71;9,863;11,017;12,235;13,517;14,864;16,276;17,752;19,228
16;0,482;13,5873;0,09711;9,826;10,697;11,223;11,507;11,951;12,255;12,712;13,587;14,492;14,991;15,333;15,848;16,187;16,837;17,983;8,772;9,927;11,081;12,301;13,587;14,94;16,359;17,845;19,331
17;0,4699;13,6595;0,09697;9,889;10,761;11,288;11,573;12,018;12,323;12,782;13,66;14,568;15,069;15,413;15,931;16,272;16,926;18,08;8,835;9,99;11,146;12,369;13,66;15,018;16,445;17,941;19,437
18;0,4583;13,7325;0,09684;9,953;10,826;11,354;11,639;12,085;12,392;12,851;13,733;14,645;15,148;15,494;16,015;16,358;17,016;18,178;8,897;10,054;11,212;12,437;13,732;15,097;16,532;18,038;19,544
19;0,4472;13,8056;0,09671;10,017;10,891;11,42;11,706;12,153;12,46;12,921;13,806;14,722;15,228;15,576;16,099;16,444;17,106;18,276;8,959;10,118;11,277;12,506;13,806;15,177;16,62;18,135;19,651
20;0,4365;13,8784;0,09659;10,08;10,955;11,485;11,771;12,22;12,528;12,991;13,878;14,799;15,307;15,657;16,183;16,53;17,196;18,374;9,02;10,181;11,342;12,574;13,878;15,256;16,707;18,232;19,758
21;0,4263;13,9505;0,09647;10,142;11,019;11,55;11,837;12,287;12,595;13,06;13,951;14,875;15,386;15,737;16,266;16,615;17,285;18,47;9,08;10,243;11,406;12,642;13,95;15,334;16,792;18,328;19,863
22;0,4164;14,0216;0,09636;10,203;11,081;11,613;11,901;12,352;12,662;13,128;14,022;14,95;15,463;15,816;16,348;16,699;17,373;18,566;9,139;10,305;11,47;12,708;14,022;15,411;16,877;18,422;19,967
23;0,4069;14,0916;0,09625;10,263;11,143;11,676;11,964;12,417;12,727;13,194;14,092;15,024;15,539;15,894;16,428;16,781;17,459;18,659;9,197;10,365;11,532;12,774;14,092;15,487;16,961;18,515;20,069
24;0,3977;14,1603;0,09615;10,322;11,203;11,737;12,026;12,48;12,791;13,26;14,16;15,097;15,614;15,97;16,508;16,862;17,544;18,752;9,254;10,423;11,593;12,838;14,16;15,561;17,043;18,607;20,17
25;0,3888;14,2276;0,09605;10,379;11,262;11,797;12,087;12,542;12,854;13,324;14,228;15,168;15,687;16,045;16,585;16,942;17,627;18,842;9,31;10,481;11,653;12,901;14,228;15,635;17,123;18,696;20,268
26;0,3802;14,2935;0,09595;10,435;11,32;11,856;12,147;12,602;12,916;13,387;14,294;15,237;15,759;16,119;16,661;17,019;17,709;18,93;9,364;10,538;11,711;12,963;14,294;15,706;17,202;18,783;20,364
27;0,3718;14,3579;0,09586;10,49;11,376;11,914;12,205;12,661;12,976;13,448;14,358;15,305;15,829;16,191;16,735;17,095;17,788;19,017;9,417;10,593;11,768;13,023;14,358;15,776;17,279;18,869;20,459
28;0,3637;14,4208;0,09577;10,544;11,431;11,97;12,261;12,719;13,034;13,508;14,421;15,372;15,898;16,261;16,808;17,17;17,866;19,101;9,469;10,646;11,824;13,081;14,421;15,844;17,354;18,953;20,551
29;0,3558;14,4824;0,09568;10,596;11,485;12,025;12,317;12,776;13,092;13,567;14,482;15,437;15,965;16,329;16,879;17,242;17,942;19,184;9,519;10,699;11,879;13,139;14,482;15,911;17,428;19,034;20,641
30;0,3481;14,5422;0,09559;10,648;11,537;12,078;12,371;12,831;13,148;13,624;14,542;15,5;16,03;16,396;16,948;17,313;18,016;19,264;9,569;10,75;11,932;13,195;14,542;15,976;17,499;19,114;20,728
31;0,3406;14,6003;0,09551;10,697;11,588;12,13;12,423;12,884;13,202;13,68;14,6;15,561;16,093;16,46;17,015;17,381;18,088;19,342;9,617;10,8;11,983;13,249;14,6;16,039;17,568;19,191;20,813
32;0,3333;14,6566;0,09543;10,745;11,638;12,18;12,474;12,936;13,254;13,733;14,657;15,62;16,155;16,523;17,08;17,448;18,157;19,418;9,663;10,848;12,033;13,302;14,657;16,1;17,636;19,266;20,896
33;0,3262;14,7112;0,09535;10,792;11,686;12,229;12,524;12,987;13,305;13,785;14,711;15,678;16,214;16,584;17,143;17,512;18,225;19,491;9,708;10,895;12,082;13,353;14,711;16,159;17,701;19,338;20,976
34;0,3192;14,7642;0,09527;10,838;11,732;12,277;12,572;13,035;13,355;13,836;14,764;15,734;16,272;16,643;17,204;17,575;18,29;19,562;9,752;10,941;12,129;13,403;14,764;16,217;17,764;19,409;21,053
35;0,3124;14,8157;0,0952;10,882;11,777;12,323;12,618;13,083;13,403;13,885;14,816;15,788;16,328;16,7;17,263;17,635;18,354;19,631;9,795;10,985;12,175;13,451;14,816;16,273;17,826;19,477;21,129
36;0,3058;14,8657;0,09513;10,925;11,821;12,367;12,663;13,129;13,45;13,933;14,866;15,841;16,382;16,756;17,321;17,694;18,416;19,699;9,836;11,028;12,22;13,498;14,866;16,327;17,885;19,544;21,203
37;0,2993;14,9142;0,09506;10,966;11,864;12,411;12,707;13,174;13,495;13,979;14,914;15,892;16,435;16,81;17,377;17,752;18,476;19,764;9,877;11,07;12,263;13,543;14,914;16,38;17,943;19,609;21,274
38;0,2929;14,9614;0,09499;11,007;11,906;12,453;12,75;13,217;13,539;14,024;14,961;15,942;16,486;16,862;17,431;17,807;18,534;19,828;9,916;11,111;12,305;13,587;14,961;16,431;18;19,672;21,343
39;0,2867;15,0073;0,09492;11,047;11,946;12,494;12,792;13,26;13,582;14,068;15,007;15,99;16,536;16,913;17,484;17,861;18,59;19,889;9,955;11,15;12,346;13,63;15,007;16,481;18,054;19,733;21,411
40;0,2806;15,052;0,09485;11,086;11,986;12,535;12,832;13,301;13,624;14,111;15,052;16,037;16,585;16,963;17,535;17,914;18,645;19,949;9,992;11,189;12,386;13,672;15,052;16,529;18,108;19,792;21,476
41;0,2747;15,0955;0,09479;11,123;12,024;12,574;12,872;13,341;13,665;14,153;15,096;16,083;16,632;17,012;17,585;17,965;18,699;20,008;10,029;11,227;12,425;13,713;15,096;16,576;18,16;19,85;21,54
42;0,2688;15,138;0,09472;11,16;12,062;12,612;12,911;13,38;13,704;14,193;15,138;16,128;16,678;17,059;17,634;18,015;18,752;20,065;10,065;11,264;12,463;13,753;15,138;16,622;18,21;19,906;21,602
43;0,263;15,1794;0,09466;11,196;12,099;12,649;12,948;13,419;13,743;14,233;15,179;16,172;16,723;17,105;17,682;18,064;18,803;20,121;10,1;11,3;12,5;13,792;15,179;16,667;18,26;19,962;21,664
44;0,2574;15,2198;0,0946;11,231;12,134;12,686;12,985;13,456;13,781;14,271;15,22;16,214;16,767;17,15;17,728;18,112;18,853;20,175;10,134;11,335;12,536;13,83;15,22;16,711;18,308;20,016;21,723
45;0,2519;15,2591;0,09454;11,265;12,169;12,721;13,021;13,492;13,818;14,309;15,259;16,256;16,81;17,193;17,774;18,158;18,901;20,228;10,167;11,369;12,572;13,867;15,259;16,754;18,355;20,068;21,781
46;0,2464;15,2974;0,09448;11,299;12,203;12,756;13,056;13,528;13,854;14,346;15,297;16,296;16,852;17,236;17,818;18,203;18,949;20,28;10,199;11,403;12,606;13,903;15,297;16,795;18,4;20,119;21,837
47;0,2411;15,3347;0,09442;11,331;12,237;12,789;13,09;13,563;13,889;14,381;15,335;16,335;16,892;17,277;17,86;18,247;18,995;20,33;10,231;11,435;12,64;13,938;15,335;16,835;18,445;20,169;21,892
48;0,2358;15,3709;0,09436;11,363;12,269;12,822;13,123;13,596;13,923;14,416;15,371;16,373;16,931;17,317;17,902;18,29;19,039;20,379;10,262;11,467;12,672;13,972;15,371;16,874;18,488;20,217;21,945
49;0,2306;15,4063;0,09431;11,394;12,3;12,854;13,155;13,629;13,956;14,45;15,406;16,411;16,97;17,357;17,943;18,332;19,083;20,427;10,292;11,498;12,704;14,005;15,406;16,913;18,53;20,264;21,998
50;0,2255;15,4408;0,09425;11,424;12,331;12,886;13,187;13,661;13,989;14,483;15,441;16,447;17,007;17,395;17,982;18,372;19,126;20,473;10,322;11,529;12,735;14,038;15,441;16,95;18,571;20,31;22,049
51;0,2205;15,4744;0,0942;11,454;12,361;12,916;13,217;13,692;14,02;14,515;15,474;16,482;17,044;17,432;18,021;18,412;19,167;20,518;10,351;11,558;12,766;14,069;15,474;16,987;18,611;20,355;22,099
52;0,2156;15,5072;0,09415;11,483;12,391;12,946;13,247;13,723;14,051;14,547;15,507;16,517;17,079;17,469;18,059;18,45;19,208;20,563;10,379;11,587;12,795;14,1;15,507;17,022;18,651;20,399;22,147
53;0,2107;15,5393;0,0941;11,511;12,419;12,975;13,277;13,752;14,081;14,577;15,539;16,551;17,114;17,505;18,096;18,488;19,248;20,606;10,406;11,615;12,824;14,13;15,539;17,057;18,689;20,442;22,195
54;0,2059;15,5706;0,09404;11,539;12,448;13,003;13,306;13,782;14,111;14,608;15,571;16,583;17,148;17,539;18,132;18,525;19,286;20,648;10,434;11,643;12,853;14,16;15,571;17,091;18,726;20,483;22,241
55;0,2012;15,6012;0,09399;11,566;12,475;13,031;13,334;13,81;14,139;14,637;15,601;16,616;17,181;17,573;18,167;18,561;19,324;20,69;10,46;11,67;12,881;14,189;15,601;17,124;18,762;20,524;22,286
56;0,1966;15,6311;0,09394;11,592;12,502;13,058;13,361;13,838;14,168;14,666;15,631;16,647;17,214;17,606;18,201;18,596;19,361;20,73;10,486;11,697;12,908;14,217;15,631;17,156;18,798;20,564;22,33
57;0,192;15,6604;0,09389;11,618;12,528;13,085;13,388;13,865;14,195;14,694;15,66;16,678;17,245;17,639;18,235;18,63;19,397;20,769;10,512;11,723;12,934;14,245;15,66;17,188;18,833;20,603;22,374
58;0,1875;15,689;0,09385;11,644;12,554;13,111;13,414;13,892;14,222;14,721;15,689;16,708;17,277;17,671;18,268;18,664;19,432;20,809;10,536;11,748;12,96;14,272;15,689;17,219;18,867;20,642;22,417
59;0,183;15,717;0,0938;11,669;12,579;13,137;13,44;13,918;14,248;14,748;15,717;16,737;17,307;17,701;18,3;18,697;19,467;20,846;10,561;11,773;12,986;14,298;15,717;17,249;18,901;20,679;22,458
60;0,1787;15,7444;0,09375;11,693;12,604;13,162;13,465;13,944;14,274;14,774;15,744;16,766;17,337;17,732;18,331;18,729;19,5;20,883;10,585;11,798;13,011;14,324;15,744;17,278;18,933;20,716;22,498
61;0,1743;15,7713;0,09371;11,717;12,628;13,186;13,49;13,969;14,3;14,8;15,771;16,795;17,366;17,762;18,362;18,761;19,534;20,92;10,608;11,822;13,035;14,349;15,771;17,308;18,965;20,752;22,539
62;0,17;15,7975;0,09366;11,741;12,652;13,21;13,514;13,993;14,324;14,825;15,798;16,822;17,394;17,791;18,392;18,792;19,566;20,955;10,632;11,845;13,059;14,374;15,798;17,336;18,996;20,787;22,578
63;0,1658;15,8232;0,09361;11,764;12,676;13,234;13,538;14,017;14,349;14,85;15,823;16,849;17,422;17,819;18,422;18,822;19,598;20,99;10,655;11,869;13,083;14,399;15,823;17,363;19,027;20,821;22,615
64;0,1617;15,8483;0,09357;11,786;12,698;13,257;13,561;14,041;14,372;14,874;15,848;16,875;17,449;17,847;18,45;18,851;19,629;21,024;10,676;11,891;13,106;14,422;15,848;17,391;19,057;20,855;22,653
65;0,1575;15,8729;0,09353;11,808;12,72;13,279;13,584;14,064;14,396;14,898;15,873;16,901;17,476;17,874;18,479;18,881;19,659;21,058;10,698;11,913;13,128;14,446;15,873;17,417;19,086;20,888;22,69
66;0,1535;15,8968;0,09348;11,83;12,742;13,302;13,606;14,086;14,418;14,921;15,897;16,926;17,502;17,901;18,506;18,908;19,688;21,089;10,72;11,935;13,15;14,468;15,897;17,443;19,114;20,92;22,725
67;0,1495;15,9202;0,09344;11,851;12,764;13,323;13,628;14,108;14,44;14,943;15,92;16,951;17,527;17,926;18,533;18,936;19,717;21,121;10,74;11,956;13,171;14,49;15,92;17,468;19,142;20,951;22,76
68;0,1455;15,9431;0,0934;11,872;12,785;13,344;13,649;14,13;14,462;14,965;15,943;16,975;17,552;17,952;18,559;18,963;19,746;21,152;10,761;11,977;13,192;14,512;15,943;17,493;19,17;20,982;22,794
69;0,1416;15,9655;0,09336;11,892;12,805;13,365;13,67;14,151;14,483;14,987;15,966;16,998;17,576;17,977;18,585;18,989;19,774;21,183;10,781;11,997;13,213;14,533;15,966;17,517;19,196;21,012;22,828
70;0,1377;15,9874;0,09332;11,912;12,825;13,385;13,69;14,171;14,504;15,008;15,987;17,021;17,6;18,001;18,61;19,015;19,801;21,213;10,8;12,017;13,233;14,554;15,987;17,541;19,223;21,042;22,861
71;0,1339;16,0087;0,09328;11,931;12,844;13,405;13,71;14,191;14,524;15,029;16,009;17,044;17,623;18,024;18,634;19,04;19,827;21,242;10,82;12,036;13,253;14,574;16,009;17,564;19,248;21,07;22,892
72;0,1301;16,0297;0,09324;11,95;12,864;13,424;13,729;14,211;14,544;15,049;16,03;17,066;17,645;18,048;18,658;19,065;19,853;21,27;10,839;12,055;13,272;14,594;16,03;17,586;19,273;21,098;22,924
73;0,1263;16,0501;0,0932;11,969;12,883;13,443;13,748;14,23;14,564;15,068;16,05;17,087;17,667;18,07;18,682;19,089;19,878;21,298;10,857;12,074;13,291;14,614;16,05;17,608;19,297;21,126;22,954
74;0,1226;16,0702;0,09316;11,988;12,901;13,462;13,767;14,249;14,583;15,088;16,07;17,108;17,689;18,092;18,705;19,112;19,903;21,325;10,875;12,093;13,31;14,633;16,07;17,63;19,321;21,153;22,984
75;0,119;16,0897;0,09312;12,006;12,919;13,48;13,785;14,268;14,601;15,107;16,09;17,129;17,71;18,114;18,727;19,135;19,927;21,352;10,893;12,11;13,328;14,651;16,09;17,651;19,344;21,179;23,013
76;0,1154;16,1089;0,09308;12,023;12,937;13,498;13,803;14,286;14,62;15,125;16,109;17,149;17,731;18,135;18,749;19,157;19,95;21,378;10,911;12,128;13,346;14,67;16,109;17,672;19,367;21,204;23,042
77;0,1118;16,1277;0,09304;12,041;12,954;13,515;13,821;14,303;14,637;15,143;16,128;17,168;17,751;18,156;18,77;19,179;19,973;21,403;10,928;12,146;13,363;14,688;16,128;17,692;19,389;21,23;23,07
78;0,1082;16,1461;0,093;12,058;12,972;13,532;13,838;14,321;14,655;15,161;16,146;17,188;17,771;18,176;18,791;19,201;19,996;21,428;10,945;12,163;13,38;14,705;16,146;17,711;19,411;21,254;23,097
79;0,1047;16,164;0,09297;12,074;12,988;13,549;13,855;14,338;14,672;15,178;16,164;17,207;17,79;18,196;18,812;19,222;20,018;21,453;10,961;12,179;13,397;14,722;16,164;17,731;19,432;21,279;23,125
80;0,1013;16,1817;0,09293;12,091;13,004;13,566;13,871;14,354;14,689;15,196;16,182;17,225;17,809;18,215;18,832;19,243;20,04;21,476;10,978;12,196;13,413;14,739;16,182;17,75;19,453;21,302;23,151
81;0,0978;16,1989;0,09289;12,107;13,021;13,582;13,888;14,371;14,705;15,212;16,199;17,243;17,828;18,234;18,852;19,263;20,061;21,5;10,994;12,212;13,43;14,756;16,199;17,768;19,474;21,325;23,177
82;0,0944;16,2158;0,09286;12,123;13,036;13,597;13,903;14,387;14,721;15,228;16,216;17,261;17,846;18,253;18,871;19,283;20,082;21,523;11,01;12,227;13,445;14,772;16,216;17,787;19,494;21,348;23,203
83;0,0911;16,2323;0,09282;12,138;13,052;13,613;13,919;14,402;14,737;15,244;16,232;17,278;17,864;18,271;18,89;19,302;20,102;21,545;11,025;12,243;13,461;14,788;16,232;17,804;19,513;21,37;23,227
84;0,0877;16,2485;0,09279;12,153;13,067;13,628;13,934;14,418;14,753;15,26;16,249;17,295;17,882;18,289;18,909;19,321;20,123;21,568;11,04;12,258;13,476;14,803;16,248;17,822;19,533;21,392;23,252
85;0,0844;16,2644;0,09275;12,168;13,082;13,643;13,949;14,433;14,768;15,276;16,264;17,312;17,899;18,306;18,927;19,34;20,142;21,589;11,055;12,273;13,491;14,818;16,264;17,839;19,551;21,413;23,275
86;0,0811;16,28;0,09272;12,183;13,096;13,658;13,964;14,448;14,783;15,291;16,28;17,328;17,915;18,324;18,944;19,358;20,161;21,611;11,07;12,288;13,505;14,833;16,28;17,855;19,57;21,435;23,299
87;0,0779;16,2952;0,09268;12,197;13,111;13,672;13,978;14,462;14,797;15,305;16,295;17,344;17,932;18,34;18,962;19,376;20,18;21,631;11,084;12,302;13,52;14,848;16,295;17,872;19,588;21,455;23,322
88;0,0747;16,3101;0,09265;12,211;13,125;13,686;13,992;14,476;14,812;15,32;16,31;17,359;17,948;18,357;18,979;19,393;20,198;21,652;11,098;12,316;13,534;14,862;16,31;17,888;19,606;21,475;23,344
89;0,0715;16,3247;0,09262;12,225;13,138;13,7;14,006;14,49;14,826;15,334;16,325;17,375;17,964;18,373;18,995;19,41;20,217;21,672;11,112;12,33;13,547;14,876;16,325;17,903;19,623;21,495;23,367
90;0,0684;16,339;0,09258;12,239;13,152;13,714;14,02;14,504;14,839;15,348;16,339;17,389;17,979;18,388;19,012;19,427;20,234;21,691;11,126;12,344;13,561;14,89;16,339;17,919;19,64;21,514;23,388
91;0,0652;16,3531;0,09255;12,252;13,165;13,727;14,033;14,517;14,853;15,362;16,353;17,404;17,994;18,404;19,028;19,443;20,251;21,71;11,14;12,357;13,574;14,903;16,353;17,934;19,657;21,533;23,409
92;0,0621;16,3668;0,09252;12,265;13,178;13,74;14,046;14,53;14,866;15,375;16,367;17,419;18,009;18,419;19,043;19,459;20,268;21,729;11,153;12,37;13,587;14,917;16,367;17,949;19,673;21,552;23,43
93;0,0591;16,3803;0,09249;12,278;13,191;13,753;14,059;14,543;14,879;15,388;16,38;17,433;18,023;18,434;19,059;19,475;20,285;21,748;11,165;12,383;13,6;14,929;16,38;17,963;19,689;21,57;23,451
94;0,056;16,3935;0,09245;12,291;13,204;13,765;14,072;14,556;14,892;15,401;16,394;17,446;18,037;18,448;19,074;19,49;20,301;21,765;11,179;12,396;13,613;14,942;16,394;17,977;19,704;21,587;23,47
95;0,053;16,4065;0,09242;12,304;13,216;13,778;14,084;14,569;14,904;15,413;16,407;17,46;18,051;18,463;19,088;19,506;20,317;21,783;11,191;12,408;13,625;14,955;16,406;17,991;19,72;21,605;23,49
96;0,05;16,4192;0,09239;12,316;13,228;13,79;14,096;14,581;14,916;15,426;16,419;17,473;18,065;18,477;19,103;19,521;20,333;21,801;11,204;12,42;13,637;14,967;16,419;18,005;19,735;21,622;23,51
97;0,0471;16,4316;0,09236;12,328;13,24;13,802;14,108;14,593;14,928;15,438;16,432;17,486;18,078;18,49;19,117;19,535;20,348;21,818;11,216;12,432;13,649;14,979;16,432;18,018;19,749;21,639;23,528
98;0,0442;16,4438;0,09233;12,34;13,252;13,813;14,12;14,604;14,94;15,45;16,444;17,499;18,091;18,504;19,131;19,549;20,363;21,834;11,227;12,444;13,661;14,991;16,444;18,031;19,764;21,655;23,547
99;0,0412;16,4557;0,0923;12,351;13,263;13,825;14,131;14,616;14,952;15,461;16,456;17,511;18,104;18,517;19,145;19,563;20,378;21,851;11,239;12,456;13,672;15,002;16,456;18,044;19,778;21,672;23,565
100;0,0384;16,4673;0,09227;12,363;13,274;13,836;14,142;14,627;14,963;15,473;16,467;17,523;18,117;18,529;19,158;19,577;20,392;21,867;11,251;12,467;13,683;15,013;16,467;18,056;19,792;21,687;23,583
101;0,0355;16,4788;0,09224;12,374;13,285;13,847;14,153;14,638;14,974;15,484;16,479;17,535;18,129;18,542;19,171;19,59;20,406;21,882;11,262;12,478;13,694;15,025;16,479;18,068;19,805;21,703;23,6
102;0,0327;16,49;0,09221;12,385;13,296;13,858;14,164;14,649;14,985;15,495;16,49;17,547;18,141;18,554;19,184;19,603;20,42;21,898;11,273;12,489;13,705;15,035;16,49;18,08;19,819;21,718;23,617
103;0,0298;16,5009;0,09218;12,396;13,307;13,868;14,175;14,659;14,995;15,505;16,501;17,558;18,153;18,566;19,196;19,616;20,433;21,913;11,284;12,5;13,716;15,046;16,501;18,092;19,831;21,733;23,634
104;0,027;16,5117;0,09215;12,406;13,317;13,879;14,185;14,67;15,006;15,516;16,512;17,57;18,164;18,578;19,208;19,628;20,447;21,928;11,295;12,511;13,726;15,056;16,512;18,103;19,844;21,747;23,651
105;0,0243;16,5222;0,09212;12,417;13,328;13,889;14,195;14,68;15,016;15,526;16,522;17,581;18,175;18,589;19,22;19,641;20,46;21,942;11,306;12,521;13,736;15,067;16,522;18,115;19,857;21,761;23,666
106;0,0215;16,5325;0,09209;12,427;13,338;13,899;14,205;14,69;15,026;15,536;16,533;17,591;18,186;18,601;19,232;19,653;20,472;21,956;11,316;12,531;13,746;15,077;16,532;18,126;19,869;21,775;23,682
107;0,0188;16,5426;0,09206;12,437;13,348;13,909;14,215;14,7;15,036;15,546;16,543;17,602;18,197;18,612;19,243;19,664;20,485;21,97;11,327;12,541;13,756;15,086;16,543;18,136;19,881;21,789;23,697
108;0,0161;16,5525;0,09203;12,447;13,357;13,918;14,225;14,709;15,046;15,556;16,553;17,612;18,208;18,622;19,254;19,676;20,497;21,983;11,337;12,551;13,766;15,096;16,552;18,147;19,892;21,802;23,712
109;0,0134;16,5622;0,09201;12,457;13,367;13,928;14,234;14,719;15,055;15,565;16,562;17,622;18,218;18,633;19,265;19,687;20,509;21,997;11,346;12,561;13,775;15,105;16,562;18,157;19,904;21,816;23,728
110;0,0107;16,5717;0,09198;12,466;13,376;13,937;14,243;14,728;15,064;15,575;16,572;17,632;18,228;18,644;19,276;19,698;20,521;22,01;11,356;12,57;13,785;15,115;16,572;18,167;19,915;21,829;23,743
111;0,0081;16,581;0,09195;12,476;13,385;13,946;14,252;14,737;15,073;15,584;16,581;17,642;18,238;18,654;19,287;19,709;20,532;22,023;11,366;12,58;13,794;15,124;16,581;18,177;19,926;21,841;23,757
112;0,0055;16,5901;0,09192;12,485;13,394;13,955;14,261;14,746;15,082;15,593;16,59;17,651;18,248;18,663;19,297;19,719;20,543;22,035;11,376;12,589;13,803;15,133;16,59;18,187;19,937;21,853;23,77
113;0,0029;16,5991;0,09189;12,494;13,403;13,964;14,27;14,755;15,091;15,601;16,599;17,66;18,257;18,673;19,307;19,73;20,554;22,047;11,385;12,598;13,812;15,142;16,599;18,196;19,947;21,865;23,784
114;0,0003;16,6078;0,09187;12,503;13,412;13,972;14,279;14,763;15,099;15,61;16,608;17,669;18,267;18,683;19,317;19,74;20,565;22,06;11,394;12,607;13,82;15,15;16,608;18,206;19,958;21,878;23,798
115;-0,0023;16,6164;0,09184;12,512;13,421;13,981;14,287;14,772;15,108;15,618;16,616;17,678;18,276;18,692;19,327;19,75;20,575;22,072;11,403;12,616;13,829;15,158;16,616;18,215;19,968;21,889;23,811
116;-0,0048;16,6249;0,09181;12,521;13,429;13,989;14,295;14,78;15,116;15,627;16,625;17,687;18,285;18,701;19,336;19,76;20,586;22,083;11,412;12,625;13,837;15,167;16,625;18,224;19,977;21,901;23,824
117;-0,0074;16,6331;0,09179;12,529;13,437;13,997;14,303;14,788;15,124;15,635;16,633;17,696;18,294;18,71;19,346;19,77;20,596;22,095;11,421;12,633;13,845;15,175;16,633;18,233;19,987;21,912;23,837
118;-0,0099;16,6412;0,09176;12,537;13,445;14,005;14,311;14,796;15,132;15,643;16,641;17,704;18,302;18,719;19,355;19,779;20,606;22,106;11,429;12,641;13,853;15,183;16,641;18,241;19,997;21,923;23,849
119;-0,0124;16,6492;0,09173;12,546;13,454;14,014;14,319;14,804;15,14;15,651;16,649;17,712;18,311;18,728;19,363;19,788;20,615;22,117;11,438;12,65;13,861;15,191;16,649;18,25;20,006;21,934;23,861
120;-0,0148;16,657;0,09171;12,554;13,461;14,021;14,327;14,811;15,148;15,658;16,657;17,72;18,319;18,736;19,372;19,797;20,625;22,128;11,446;12,658;13,869;15,198;16,657;18,258;20,015;21,945;23,874
121;-0,0173;16,6647;0,09168;12,562;13,469;14,029;14,335;14,819;15,155;15,666;16,665;17,728;18,327;18,745;19,381;19,806;20,635;22,138;11,455;12,666;13,877;15,206;16,665;18,266;20,024;21,955;23,885
122;-0,0197;16,6722;0,09166;12,57;13,477;14,036;14,342;14,826;15,163;15,673;16,672;17,736;18,335;18,753;19,39;19,815;20,644;22,149;11,463;12,673;13,884;15,213;16,672;18,274;20,033;21,965;23,898
