Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
473;-0,4525;15,9471;0,08704;12,372;13,138;13,617;13,881;14,303;14,598;15,049;15,947;16,925;17,486;17,881;18,491;18,904;19,72;21,244;11,432;12,459;13,487;14,642;15,947;17,428;19,117;21,055;22,993
474;-0,4532;15,9438;0,08703;12,37;13,136;13,615;13,879;14,3;14,595;15,046;15,944;16,921;17,482;17,877;18,487;18,9;19,716;21,24;11,43;12,457;13,484;14,639;15,944;17,424;19,113;21,051;22,989
475;-0,4539;15,9405;0,08702;12,368;13,134;13,613;13,876;14,297;14,592;15,043;15,941;16,918;17,478;17,873;18,483;18,896;19,712;21,235;11,429;12,455;13,482;14,636;15,94;17,421;19,109;21,046;22,984
476;-0,4546;15,9372;0,08701;12,366;13,132;13,61;13,874;14,295;14,589;15,04;15,937;16,914;17,474;17,869;18,479;18,891;19,707;21,231;11,427;12,453;13,48;14,634;15,937;17,417;19,105;21,042;22,979
477;-0,4553;15,9339;0,08701;12,364;13,129;13,607;13,871;14,292;14,586;15,037;15,934;16,91;17,471;17,866;18,475;18,888;19,704;21,227;11,425;12,451;13,477;14,631;15,934;17,413;19,101;21,038;22,975
478;-0,456;15,9307;0,087;12,362;13,127;13,605;13,869;14,289;14,583;15,034;15,931;16,907;17,467;17,862;18,472;18,884;19,7;21,223;11,424;12,449;13,475;14,628;15,931;17,41;19,097;21,034;22,971
479;-0,4567;15,9274;0,08699;12,36;13,125;13,603;13,866;14,286;14,581;15,031;15,927;16,903;17,463;17,858;18,468;18,88;19,695;21,218;11,422;12,447;13,472;14,625;15,927;17,406;19,093;21,029;22,966
480;-0,4574;15,9241;0,08698;12,358;13,122;13,6;13,863;14,284;14,578;15,028;15,924;16,9;17,46;17,854;18,464;18,876;19,691;21,214;11,42;12,445;13,47;14,622;15,924;17,402;19,089;21,025;22,961
481;-0,4581;15,9209;0,08698;12,356;13,12;13,597;13,861;14,281;14,575;15,025;15,921;16,896;17,456;17,851;18,46;18,872;19,687;21,21;11,419;12,443;13,467;14,619;15,921;17,399;19,085;21,021;22,957
482;-0,4588;15,9177;0,08697;12,354;13,118;13,595;13,858;14,278;14,572;15,022;15,918;16,893;17,453;17,847;18,456;18,868;19,683;21,206;11,417;12,441;13,465;14,617;15,918;17,395;19,081;21,017;22,953
483;-0,4595;15,9145;0,08696;12,352;13,115;13,593;13,856;14,276;14,569;15,02;15,915;16,889;17,449;17,843;18,452;18,864;19,679;21,201;11,416;12,439;13,463;14,614;15,914;17,391;19,077;21,013;22,948
484;-0,4602;15,9112;0,08695;12,35;13,113;13,59;13,853;14,273;14,566;15,017;15,911;16,886;17,445;17,839;18,448;18,86;19,675;21,197;11,414;12,437;13,46;14,611;15,911;17,388;19,073;21,008;22,943
485;-0,4609;15,908;0,08695;12,348;13,111;13,588;13,85;14,27;14,564;15,014;15,908;16,882;17,442;17,836;18,445;18,856;19,671;21,193;11,412;12,435;13,458;14,608;15,908;17,384;19,069;21,004;22,939
486;-0,4616;15,9049;0,08694;12,346;13,109;13,585;13,848;14,267;14,561;15,011;15,905;16,879;17,438;17,832;18,441;18,852;19,667;21,189;11,411;12,433;13,455;14,605;15,905;17,381;19,066;21;22,935
